hospital_id,hospital_name,email,password,role
120,Billroth Hospital Limited,hospital120.billrothhospitallimi@aes.com,u$Mi16bwy#$Q,hospital
121,Billroth Hospitals - Ra Puram,hospital121.billrothhospitalsrap@aes.com,GV3x6s!u1W0q,hospital
122,Brs Hospital Pvt.Ltd,hospital122.brshospitalpvtltd@aes.com,or$O1NKAxj0t,hospital
123,C.K. Hospital,hospital123.ckhospital@aes.com,E8Eq#cKbu5v!,hospital
124,C.S.I. Kalyani General Hospital,hospital124.csikalyanigeneralhos@aes.com,emT4gWPb6#L9,hospital
125,C.S.I. Rainy Multi-Speciality Hospital,hospital125.csirainymultispecial@aes.com,INFy6#7#xmxS,hospital
126,C.S.M Nursing Home,hospital126.csmnursinghome@aes.com,2G6CrEU!VoKi,hospital
127,Cauvery Trust Hospital,hospital127.cauverytrusthospital@aes.com,@$6sERsK2dpg,hospital
128,Chandra Hospital,hospital128.chandrahospital@aes.com,$HK7reLtPRAg,hospital
129,Chennai Eye Care Hospital,hospital129.chennaieyecarehospit@aes.com,9c50KT!@t0QR,hospital
130,Chennai Krishna Hospital,hospital130.chennaikrishnahospit@aes.com,yA!Bvr$3btsR,hospital
131,Chennai Meenakshi Multispeciality Hospital Ltd.,hospital131.chennaimeenakshimult@aes.com,jhB11m!WBvC#,hospital
132,Chettinad Super Speciality Hospital (Cssh)-(A Unit Of Rajah Muthiah Charitable And Educational Trust),hospital132.chettinadsuperspecia@aes.com,XC#E0CL@b8dY,hospital
133,Child Jesus Hospital,hospital133.childjesushospital@aes.com,3MBi1t@rrRJs,hospital
134,Chitra Kalyana Raman Nursing Home,hospital134.chitrakalyanaramannu@aes.com,d9u#5BCWW37E,hospital
135,Chitras Ent Laser Surgery Super Speciality Hospital,hospital135.chitrasentlasersurge@aes.com,Fj2XDdT6@XP6,hospital
136,Christian Hospital,hospital136.christianhospital@aes.com,uXbxjA6!TCjs,hospital
137,Christudas Orthopaedic Speciality Hospital,hospital137.christudasorthopaedi@aes.com,r5z!BfRnIXe5,hospital
138,City Hospital,hospital138.cityhospital@aes.com,N23f0gAukrp#,hospital
139,City Hospital,hospital139.cityhospital@aes.com,eYF0HY9@5t!p,hospital
140,City Hospital Pavalam Trauma Centre,hospital140.cityhospitalpavalamt@aes.com,k2k$5U@sEn!Y,hospital
141,Clinic Nallam,hospital141.clinicnallam@aes.com,zG!ZXc8dUbPL,hospital
142,Coimbatore Bone And Joint Foundation Pvt Ltd,hospital142.coimbatoreboneandjoi@aes.com,jWfZ@GMQ3cy5,hospital
143,Coimbatore Kidney Centre,hospital143.coimbatorekidneycent@aes.com,5jR#Iw$zMM#y,hospital
144,Crescent Hospitals,hospital144.crescenthospitals@aes.com,Alo3!zLN#W!o,hospital
145,Csi Hospital,hospital145.csihospital@aes.com,$gJaK8K22d69,hospital
146,Csr Nursing Home,hospital146.csrnursinghome@aes.com,4EvXQL4j$@Q7,hospital
147,D.S.K. Hospital,hospital147.dskhospital@aes.com,jIX$Tf4QGof!,hospital
148,Darshan Surgical Centre Llp,hospital148.darshansurgicalcentr@aes.com,sG#pbAtJsiN3,hospital
149,Deepa Kannan Hospital,hospital149.deepakannanhospital@aes.com,hR3V#Y5kKQ43,hospital
150,Deepam Eye Hospital,hospital150.deepameyehospital@aes.com,qo1dvMGn1!AK,hospital
151,Deepam Hospital,hospital151.deepamhospital@aes.com,z!$lJFt6oDO4,hospital
152,Deepam Hospital,hospital152.deepamhospital@aes.com,vt22AiL#FR#K,hospital
153,Deepam Hospital,hospital153.deepamhospital@aes.com,#eQ1w$YQ$0dO,hospital
154,Deepam Hospital Ltd,hospital154.deepamhospitalltd@aes.com,@hqW1ZsMg0lz,hospital
155,Deepam Hospital Ltd,hospital155.deepamhospitalltd@aes.com,B98!Q$CVA2g7,hospital
156,Deepika Eye Care Hospital,hospital156.deepikaeyecarehospit@aes.com,qwE5L1@NNZwQ,hospital
157,Deepthi Hospital,hospital157.deepthihospital@aes.com,p8c#iuTIa1NW,hospital
158,Devadoss Multispeciality Hospital,hospital158.devadossmultispecial@aes.com,by6J!EDd0Blp,hospital
159,Devaki Cancer Institute,hospital159.devakicancerinstitut@aes.com,9$dMDD4ZVg2P,hospital
160,Devaki Hospital,hospital160.devakihospital@aes.com,y5YaOw@gb16e,hospital
161,Devi Priya Hospital,hospital161.devipriyahospital@aes.com,un1BFXSwFu$m,hospital
162,Dharan Hospital,hospital162.dharanhospital@aes.com,XBnAnn!b50Wy,hospital
163,Dhiviya Nursing Home,hospital163.dhiviyanursinghome@aes.com,M8l2QE!3mYrb,hospital
164,Dinesh Nursing Home,hospital164.dineshnursinghome@aes.com,VW5@ZcagPj1W,hospital
165,Doctor Rex'S Hospital,hospital165.doctorrexshospital@aes.com,Uy2!M73qTg6V,hospital
166,Dr Agarwal'S Eye Hospital Ltd,hospital166.dragarwalseyehospita@aes.com,n74zq9T1@9VS,hospital
167,Dr Agarwal'S Eye Hospital Ltd (Nanganallur),hospital167.dragarwalseyehospita@aes.com,FyWOL8Bw$q7Y,hospital
168,Dr Agarwals Eye Hospital Ltd,hospital168.dragarwalseyehospita@aes.com,T!yMR8zwPmiy,hospital
169,Dr Agarwals Eye Hospital Ltd,hospital169.dragarwalseyehospita@aes.com,tuYYR4VE!NK7,hospital
170,Dr Agarwals Eye Hospital Ltd,hospital170.dragarwalseyehospita@aes.com,ud@X8YMT1eEL,hospital
171,Dr Agarwals Eye Hospital Ltd,hospital171.dragarwalseyehospita@aes.com,g768Tml!dt@q,hospital
172,Dr Agarwals Eye Hospital Ltd (Dharmapuri),hospital172.dragarwalseyehospita@aes.com,j@7fsgNFvN86,hospital
173,Dr Agarwals Eye Hospital Ltd (Gopalapuram),hospital173.dragarwalseyehospita@aes.com,35#X@xoJjf6K,hospital
174,Dr Agarwals Eye Hospital Ltd (Kumbakonam),hospital174.dragarwalseyehospita@aes.com,xr6Cnh7rkAx!,hospital
175,Dr Agarwals Eye Hospital Ltd (Periyar Nagar),hospital175.dragarwalseyehospita@aes.com,98jOxo#YbZ@f,hospital
176,Dr Agarwals Eye Hospital Ltd (Salem),hospital176.dragarwalseyehospita@aes.com,1LO0fVFjDD6@,hospital
177,Dr Agarwals Eye Hospital Ltd (Villupuram),hospital177.dragarwalseyehospita@aes.com,#l@$7SkqcHUL,hospital
178,Dr Kamakshi National Hospital,hospital178.drkamakshinationalho@aes.com,eJfMHL@0Fij#,hospital
179,Dr Lankesh Eye Hospital Pvt Ltd,hospital179.drlankesheyehospital@aes.com,6DL4Dud38HB!,hospital
180,Dr Manoharan Hospital,hospital180.drmanoharanhospital@aes.com,@F62NEM5vNL#,hospital
181,Dr. A. Ansari Hospital,hospital181.draansarihospital@aes.com,dsQ#X96V@xi2,hospital
182,Dr. A. Govindarajan Eye Hospitals,hospital182.dragovindarajaneyeho@aes.com,nQF3KIe1nl#0,hospital
183,Dr. Arvind Vision Care,hospital183.drarvindvisioncare@aes.com,cQfpwL#7#MY3,hospital
184,Dr. G.C. Hospital,hospital184.drgchospital@aes.com,1Tz7inFm9@Yt,hospital
185,Dr. Grace George Hospital,hospital185.drgracegeorgehospita@aes.com,3rAdi!roA746,hospital
186,Dr. Jacquline Divyananda (Divya Hospital),hospital186.drjacqulinedivyanand@aes.com,nfwC$$RE3bu0,hospital
187,Dr. Jeyasekharan Medical Trust,hospital187.drjeyasekharanmedica@aes.com,Xhi$lvI9yAGM,hospital
188,Dr. K.M. Nallaswamy Hospital,hospital188.drkmnallaswamyhospit@aes.com,9phwYky#PXTT,hospital
189,Dr. Kumaraswami Health Centre ( A Unit Of Indian Medical Centre),hospital189.drkumaraswamihealthc@aes.com,zIcb6c!zNSQ6,hospital
190,Dr. Loganathan Orthopaedic Hospital,hospital190.drloganathanorthopae@aes.com,j8@uXv7bKH6$,hospital
191,Dr. Mehta'S Multispeciality Hospital Pvt Ltd.,hospital191.drmehtasmultispecial@aes.com,PSNET3$Unwu2,hospital
